Date	Value
1930-1-15	-134.6473958
1930-4-15	-136.0140625
1930-7-15	-122.9140625
1930-10-15	-124.7807292
1931-1-15	-130.8473958
1931-4-15	-130.0807292
1931-7-15	-126.7473958
1931-10-15	-131.2140625
1932-1-15	-126.7140625
1932-4-15	-124.4140625
1932-7-15	-125.1473958
1932-10-15	-122.6473958
1933-1-15	-117.5473958
1933-4-15	-116.3140625
1933-7-15	-119.9807292
1933-10-15	-122.8807292
1934-1-15	-123.8473958
1934-4-15	-120.6473958
1934-7-15	-127.3473958
1934-10-15	-128.5473958
1935-1-15	-119.3473958
1935-4-15	-116.1140625
1935-7-15	-118.1473958
1935-10-15	-123.7473958
1936-1-15	-120.5140625
1936-4-15	-124.9473958
1936-7-15	-124.8140625
1936-10-15	-124.0807292
1937-1-15	-119.7140625
1937-4-15	-117.5473958
1937-7-15	-119.8807292
1937-10-15	-115.8473958
1938-1-15	-110.9140625
1938-4-15	-112.1140625
1938-7-15	-121.5473958
1938-10-15	-115.1473958
1939-1-15	-114.5807292
1939-4-15	-111.5473958
1939-7-15	-101.4807292
1939-10-15	-112.0140625
1940-1-15	-111.9140625
1940-4-15	-117.4807292
1940-7-15	-121.6807292
1940-10-15	-111.1807292
1941-1-15	-106.0140625
1941-4-15	-103.4140625
1941-7-15	-100.7473958
1941-10-15	-101.4807292
1942-1-15	-107.2473958
1942-4-15	-108.3473958
1942-7-15	-101.4473958
1942-10-15	-97.0473958
1943-1-15	-97.8807291
1943-4-15	-98.5140625
1943-7-15	-104.0140625
1943-10-15	-107.9807292
1944-1-15	-105.2473958
1944-4-15	-102.8140625
1944-7-15	-116.9473958
1944-10-15	-112.8807292
1945-1-15	-107.6473958
1945-4-15	-107.0140625
1945-7-15	-104.4473958
1945-10-15	-108.4473958
1946-1-15	-103.5473958
1946-4-15	-98.6807291
1946-7-15	-92.6807291
1946-10-15	-101.0140625
1947-1-15	-104.2807292
1947-4-15	-101.7473958
1947-7-15	-97.4473958
1947-10-15	-86.8473958
1948-1-15	-87.3473958
1948-4-15	-92.9807291
1948-7-15	-91.8140625
1948-10-15	-90.8473958
1949-1-15	-87.3140625
1949-4-15	-92.5473958
1949-7-15	-95.4140625
1949-10-15	-93.6807291
1950-1-15	-92.2807291
1950-4-15	-92.2473958
1950-7-15	-91.4473958
1950-10-15	-87.6140625
1951-1-15	-82.0140625
1951-4-15	-74.0140625
1951-7-15	-82.3140625
1951-10-15	-83.9473958
1952-1-15	-85.0807291
1952-4-15	-86.9807291
1952-7-15	-84.4807291
1952-10-15	-79.6140625
1953-1-15	-76.8473958
1953-4-15	-78.2807291
1953-7-15	-75.3473958
1953-10-15	-82.2140625
1954-1-15	-82.1807291
1954-4-15	-81.2473958
1954-7-15	-86.7140625
1954-10-15	-80.8140625
1955-1-15	-72.3807291
1955-4-15	-79.6140625
1955-7-15	-87.4473958
1955-10-15	-81.7473958
1956-1-15	-82.3807291
1956-4-15	-82.3807291
1956-7-15	-86.5807291
1956-10-15	-90.0140625
1957-1-15	-83.0140625
1957-4-15	-70.1140625
1957-7-15	-69.5473958
1957-10-15	-72.8473958
1958-1-15	-72.2473958
1958-4-15	-73.3140625
1958-7-15	-72.9140625
1958-10-15	-68.8140625
1959-1-15	-68.7140625
1959-4-15	-73.1140625
1959-7-15	-70.2140625
1959-10-15	-69.9140625
1960-1-15	-70.3807291
1960-4-15	-66.4807291
1960-7-15	-66.8807291
1960-10-15	-67.5807291
1961-1-15	-60.2473958
1961-4-15	-56.2473958
1961-7-15	-60.7473958
1961-10-15	-65.6473958
1962-1-15	-66.6807291
1962-4-15	-67.6140625
1962-7-15	-68.0473958
1962-10-15	-63.4140625
1963-1-15	-63.8807291
1963-4-15	-65.5140625
1963-7-15	-69.9140625
1963-10-15	-69.0140625
1964-1-15	-77.9473958
1964-4-15	-81.9473958
1964-7-15	-70.9807291
1964-10-15	-73.1140625
1965-1-15	-66.1807291
1965-4-15	-67.0473958
1965-7-15	-66.3140625
1965-10-15	-60.7473958
1966-1-15	-64.2807291
1966-4-15	-70.0807291
1966-7-15	-70.4807291
1966-10-15	-71.6807291
1967-1-15	-72.9140625
1967-4-15	-73.8473958
1967-7-15	-66.4473958
1967-10-15	-63.9473958
1968-1-15	-63.4807291
1968-4-15	-75.4807291
1968-7-15	-72.8140625
1968-10-15	-60.0140625
1969-1-15	-59.7140625
1969-4-15	-60.3140625
1969-7-15	-62.6140625
1969-10-15	-60.3473958
1970-1-15	-61.5140625
1970-4-15	-63.1140625
1970-7-15	-64.7473958
1970-10-15	-62.8140625
1971-1-15	-57.4807291
1971-4-15	-55.3473958
1971-7-15	-60.4807291
1971-10-15	-57.0807291
1972-1-15	-56.5140625
1972-4-15	-47.0807291
1972-7-15	-43.7140625
1972-10-15	-49.7473958
1973-1-15	-54.6807291
1973-4-15	-56.2807291
1973-7-15	-56.7473958
1973-10-15	-53.1807291
1974-1-15	-40.1807291
1974-4-15	-40.4807291
1974-7-15	-43.1807291
1974-10-15	-46.0473958
1975-1-15	-43.9473958
1975-4-15	-42.9140625
1975-7-15	-45.8473958
1975-10-15	-43.7473958
1976-1-15	-46.6807291
1976-4-15	-46.2807291
1976-7-15	-44.7473958
1976-10-15	-44.4140625
1977-1-15	-44.2473958
1977-4-15	-49.6140625
1977-7-15	-48.5140625
1977-10-15	-45.5473958
1978-1-15	-38.2473958
1978-4-15	-37.3473958
1978-7-15	-41.8140625
1978-10-15	-42.2140625
1979-1-15	-49.6140625
1979-4-15	-49.3807291
1979-7-15	-46.8140625
1979-10-15	-39.3807291
1980-1-15	-37.6807291
1980-4-15	-38.9140625
1980-7-15	-41.8807291
1980-10-15	-40.9807291
1981-1-15	-31.0807291
1981-4-15	-26.8140625
1981-7-15	-25.9807291
1981-10-15	-25.9140625
1982-1-15	-30.2140625
1982-4-15	-35.3140625
1982-7-15	-37.8807291
1982-10-15	-28.6140625
1983-1-15	-23.5473958
1983-4-15	-18.6140625
1983-7-15	-22.2807291
1983-10-15	-30.6473958
1984-1-15	-30.4807291
1984-4-15	-25.0473958
1984-7-15	-21.7140625
1984-10-15	-24.8140625
1985-1-15	-31.6807291
1985-4-15	-35.2140625
1985-7-15	-36.9807291
1985-10-15	-36.5807291
1986-1-15	-33.8140625
1986-4-15	-33.7807291
1986-7-15	-35.1807291
1986-10-15	-36.8140625
1987-1-15	-33.8473958
1987-4-15	-34.2807291
1987-7-15	-33.2473958
1987-10-15	-37.6140625
1988-1-15	-31.4140625
1988-4-15	-31.6473958
1988-7-15	-28.8473958
1988-10-15	-26.5140625
1989-1-15	-31.8473958
1989-4-15	-24.6140625
1989-7-15	-25.1473958
1989-10-15	-22.2473958
1990-1-15	-25.2473958
1990-4-15	-28.3140625
1990-7-15	-22.8473958
1990-10-15	-19.4807291
1991-1-15	-20.3473958
1991-4-15	-21.8140625
1991-7-15	-22.8140625
1991-10-15	-18.9473958
1992-1-15	-16.3807291
1992-4-15	-17.4140625
1992-7-15	-20.2473958
1992-10-15	-17.8140625
1993-1-15	-19.5807291
1993-4-15	-16.3140625
1993-7-15	-22.7807291
1993-10-15	-28.7140625
1994-1-15	-22.3473958
1994-4-15	-20.0807291
1994-7-15	-17.9807291
1994-10-15	-18.2473958
1995-1-15	-16.3473958
